,number_of_incidents,code,year,month,hour
0,1,00a,2005,04,0
1,1,00a,2005,04,1
2,1,00a,2005,04,13
3,1,00a,2005,04,17
4,1,00a,2005,04,2
5,1,00a,2005,05,16
6,1,00a,2005,06,20
7,1,00a,2005,07,2
8,1,00a,2005,08,3
9,1,00a,2005,08,9
10,1,00a,2005,09,0
11,1,00a,2005,10,14
12,1,00a,2005,10,15
13,1,00a,2005,10,2
14,1,00a,2005,11,11
15,1,00a,2005,11,12
16,1,00a,2005,11,19
17,1,00a,2005,12,18
18,1,00a,2006,01,10
19,1,00a,2006,03,17
20,1,00a,2006,03,21
21,1,00a,2006,03,23
22,2,00a,2006,05,9
23,1,00a,2006,06,10
24,1,00a,2006,06,12
25,1,00a,2006,06,20
26,1,00a,2006,06,3
27,1,00a,2006,06,9
28,1,00a,2006,07,15
29,1,00a,2006,07,17
30,1,00a,2006,08,11
31,1,00a,2006,08,15
32,1,00a,2006,08,3
33,1,00a,2006,08,5
34,1,00a,2006,09,17
35,1,00a,2006,10,10
36,1,00a,2006,10,20
37,1,00a,2006,11,20
38,1,00a,2006,12,11
39,1,00a,2006,12,13
40,1,00a,2006,12,7
41,1,00a,2007,01,21
42,1,00a,2007,03,21
43,1,00a,2007,04,13
44,1,00a,2007,04,17
45,1,00a,2007,04,18
46,1,00a,2007,04,21
47,1,00a,2007,05,13
48,1,00a,2007,05,16
49,1,00a,2007,05,17
50,1,00a,2007,06,16
51,1,00a,2007,10,12
52,1,00a,2007,10,22
53,1,00a,2007,11,1
54,1,00a,2007,12,15
55,1,00a,2008,01,16
56,1,00a,2008,01,22
57,1,00a,2008,02,3
58,1,00a,2008,03,16
59,1,00a,2008,04,21
60,1,00a,2008,07,12
61,1,00a,2008,07,20
62,1,00a,2008,07,21
63,1,00a,2008,07,9
64,1,00a,2008,08,12
65,1,00a,2008,08,9
66,1,00a,2008,09,1
67,1,00a,2008,09,2
68,1,00a,2008,09,21
69,1,00a,2008,10,10
70,1,00a,2008,10,12
71,1,00a,2008,10,15
72,1,00a,2008,11,14
73,1,00a,2008,11,19
74,1,00a,2008,11,2
75,1,00a,2008,12,11
76,1,00a,2008,12,14
77,1,00a,2008,12,20
78,1,00a,2008,12,21
79,1,00a,2009,01,20
80,1,00a,2009,01,23
81,1,00a,2009,02,10
82,1,00a,2009,02,4
83,1,00a,2009,02,8
84,1,00a,2009,02,9
85,1,00a,2009,03,11
86,1,00a,2009,03,22
87,1,00a,2009,04,14
88,1,00a,2009,04,16
89,1,00a,2009,04,23
90,1,00a,2009,05,11
91,1,00a,2009,05,18
92,1,00a,2009,05,20
93,1,00a,2009,05,21
94,1,00a,2009,06,13
95,1,00a,2009,07,8
96,1,00a,2009,08,11
97,1,00a,2009,09,14
98,1,00a,2009,09,19
99,1,00a,2009,09,7
100,1,00a,2009,10,18
101,1,00a,2009,11,21
102,1,00a,2009,12,14
103,1,00a,2009,12,21
104,1,00a,2009,12,8
105,1,00a,2010,01,12
106,1,00a,2010,01,13
107,1,00a,2010,01,4
108,1,00a,2010,02,14
109,1,00a,2010,02,18
110,1,00a,2010,02,22
111,1,00a,2010,03,0
112,1,00a,2010,03,10
113,1,00a,2010,03,11
114,2,00a,2010,04,11
115,1,00a,2010,04,2
116,1,00a,2010,05,15
117,1,00a,2010,05,6
118,1,00a,2010,06,19
119,1,00a,2010,07,0
120,1,00a,2010,07,1
121,1,00a,2010,07,22
