,number_of_incidents,code,year,month
0,5,00a,2005,04
1,1,00a,2005,05
2,1,00a,2005,06
3,1,00a,2005,07
4,2,00a,2005,08
5,1,00a,2005,09
6,3,00a,2005,10
7,3,00a,2005,11
8,1,00a,2005,12
9,1,00a,2006,01
10,3,00a,2006,03
11,2,00a,2006,05
12,5,00a,2006,06
13,2,00a,2006,07
14,4,00a,2006,08
15,1,00a,2006,09
16,2,00a,2006,10
17,1,00a,2006,11
18,3,00a,2006,12
19,1,00a,2007,01
20,1,00a,2007,03
21,4,00a,2007,04
22,3,00a,2007,05
23,1,00a,2007,06
24,2,00a,2007,10
25,1,00a,2007,11
26,1,00a,2007,12
27,2,00a,2008,01
28,1,00a,2008,02
29,1,00a,2008,03
30,1,00a,2008,04
31,4,00a,2008,07
32,2,00a,2008,08
33,3,00a,2008,09
34,3,00a,2008,10
35,3,00a,2008,11
36,4,00a,2008,12
37,2,00a,2009,01
38,4,00a,2009,02
39,2,00a,2009,03
40,3,00a,2009,04
41,4,00a,2009,05
42,1,00a,2009,06
43,1,00a,2009,07
44,1,00a,2009,08
45,3,00a,2009,09
46,1,00a,2009,10
47,1,00a,2009,11
48,3,00a,2009,12
49,3,00a,2010,01
50,3,00a,2010,02
51,3,00a,2010,03
52,3,00a,2010,04
53,2,00a,2010,05
54,1,00a,2010,06
55,4,00a,2010,07
56,1,00a,2010,08
57,1,00a,2010,09
58,2,00a,2010,10
59,1,00a,2010,11
60,4,00a,2010,12
61,2,00a,2011,01
62,1,00a,2011,02
63,5,00a,2011,04
64,2,00a,2011,05
65,4,00a,2011,06
66,1,00a,2011,07
67,2,00a,2011,09
68,2,00a,2011,10
69,2,00a,2011,11
70,2,00a,2011,12
71,6,00a,2012,02
72,2,00a,2012,03
73,2,00a,2012,04
74,2,00a,2012,05
75,2,00a,2012,06
76,3,00a,2012,07
77,3,00a,2012,08
78,1,00a,2012,09
79,4,00a,2012,10
80,1,00a,2012,11
81,1,00a,2012,12
82,3,00a,2013,01
83,2,00a,2013,02
84,5,00a,2013,03
85,4,00a,2013,04
86,5,00a,2013,05
87,28,00a,2013,06
88,31,00a,2013,07
89,22,00a,2013,08
90,22,00a,2013,09
91,44,00a,2013,10
92,56,00a,2013,11
93,47,00a,2013,12
94,30,00a,2014,01
95,23,00a,2014,02
96,30,00a,2014,03
97,18,00a,2014,04
98,12,00a,2014,05
99,12,00a,2014,06
100,16,00a,2014,07
101,19,00a,2014,08
102,8,00a,2014,09
103,11,00a,2014,10
104,28,00a,2014,11
105,21,00a,2014,12
106,11,00a,2015,01
107,13,00a,2015,02
108,17,00a,2015,03
109,10,00a,2015,04
110,11,00a,2015,05
111,9,00a,2015,06
112,14,00a,2015,07
113,11,00a,2015,08
114,10,00a,2015,09
115,12,00a,2015,10
116,14,00a,2015,11
117,15,00a,2015,12
118,15,00a,2016,01
119,7,00a,2016,02
120,12,00a,2016,03
121,9,00a,2016,04
122,7,00a,2016,05
123,3,00a,2016,06
124,12,00a,2016,07
125,9,00a,2016,08
126,6,00a,2016,09
127,2,00a,2016,10
128,8,00a,2016,11
129,7,00a,2016,12
130,3,00a,2017,01
131,1,00a,2017,02
132,7,00b,2005,04
133,4,00b,2005,05
134,9,00b,2005,06
135,2,00b,2005,07
136,3,00b,2005,08
137,1,00b,2005,09
138,6,00b,2005,10
139,5,00b,2005,11
140,4,00b,2005,12
141,1,00b,2006,01
142,2,00b,2006,02
143,2,00b,2006,03
144,3,00b,2006,04
145,2,00b,2006,05
146,7,00b,2006,06
147,4,00b,2006,07
148,3,00b,2006,08
149,2,00b,2006,09
150,2,00b,2006,10
151,4,00b,2006,11
152,4,00b,2006,12
153,6,00b,2007,01
154,4,00b,2007,02
155,7,00b,2007,03
156,2,00b,2007,04
157,7,00b,2007,05
158,6,00b,2007,06
159,4,00b,2007,07
160,2,00b,2007,08
161,5,00b,2007,09
162,1,00b,2007,10
163,2,00b,2007,11
164,3,00b,2007,12
165,6,00b,2008,01
166,4,00b,2008,02
167,1,00b,2008,03
168,5,00b,2008,04
169,5,00b,2008,05
170,4,00b,2008,06
171,2,00b,2008,07
172,3,00b,2008,08
173,3,00b,2008,09
174,4,00b,2008,10
175,5,00b,2008,11
176,7,00b,2008,12
177,2,00b,2009,01
178,2,00b,2009,02
179,6,00b,2009,03
180,5,00b,2009,04
181,2,00b,2009,05
182,5,00b,2009,06
183,3,00b,2009,07
184,3,00b,2009,08
185,3,00b,2009,09
186,11,00b,2009,10
187,5,00b,2009,11
188,1,00b,2009,12
189,4,00b,2010,01
190,7,00b,2010,02
191,6,00b,2010,03
192,6,00b,2010,04
193,8,00b,2010,05
194,5,00b,2010,06
195,6,00b,2010,07
196,9,00b,2010,08
197,2,00b,2010,09
198,3,00b,2010,10
199,6,00b,2010,12
200,6,00b,2011,01
201,5,00b,2011,02
202,1,00b,2011,03
203,3,00b,2011,04
204,3,00b,2011,05
205,1,00b,2011,06
206,5,00b,2011,07
207,4,00b,2011,08
208,9,00b,2011,09
209,3,00b,2011,10
210,8,00b,2011,11
211,5,00b,2011,12
212,3,00b,2012,02
213,3,00b,2012,03
214,6,00b,2012,04
215,2,00b,2012,05
216,7,00b,2012,06
217,10,00b,2012,07
218,6,00b,2012,08
219,8,00b,2012,09
220,8,00b,2012,10
221,3,00b,2012,11
222,11,00b,2012,12
223,3,00b,2013,01
224,5,00b,2013,02
225,2,00b,2013,03
226,4,00b,2013,04
227,22,00b,2013,05
228,69,00b,2013,06
229,62,00b,2013,07
230,73,00b,2013,08
231,70,00b,2013,09
232,95,00b,2013,10
233,93,00b,2013,11
234,81,00b,2013,12
235,94,00b,2014,01
236,88,00b,2014,02
237,109,00b,2014,03
238,66,00b,2014,04
239,67,00b,2014,05
240,66,00b,2014,06
241,38,00b,2014,07
242,69,00b,2014,08
243,37,00b,2014,09
244,93,00b,2014,10
245,117,00b,2014,11
246,84,00b,2014,12
247,83,00b,2015,01
248,90,00b,2015,02
249,76,00b,2015,03
250,51,00b,2015,04
251,83,00b,2015,05
252,61,00b,2015,06
253,61,00b,2015,07
254,43,00b,2015,08
255,83,00b,2015,09
256,91,00b,2015,10
257,82,00b,2015,11
258,69,00b,2015,12
259,93,00b,2016,01
260,75,00b,2016,02
261,49,00b,2016,03
262,39,00b,2016,04
263,33,00b,2016,05
264,40,00b,2016,06
265,28,00b,2016,07
266,25,00b,2016,08
267,34,00b,2016,09
268,28,00b,2016,10
269,26,00b,2016,11
270,38,00b,2016,12
271,33,00b,2017,01
272,22,00b,2017,02
273,1,00c,2005,04
274,2,00c,2005,05
275,4,00c,2005,06
276,4,00c,2005,07
277,2,00c,2005,08
278,1,00c,2005,09
279,5,00c,2005,10
280,8,00c,2005,11
281,4,00c,2005,12
282,2,00c,2006,01
283,1,00c,2006,02
284,4,00c,2006,03
285,2,00c,2006,04
286,1,00c,2006,05
